id;id_type;sort;attrs_cn;attrs_id;attrs_name;center_x;center_y;extent_ymin;extent_ymax;extent_xmin;extent_xmax;stat_kvartal_total;stat_kvartal_geo;stat_parcel_total;stat_parcel_geo;stat_oks_total;stat_oks_geo
1923;3;2449;24:49;24:49;г. Игарка;9623362.13627909;10198942.1981302;9922279.97503955;10480611.46193;9449742.43497711;9898916.70274867;54;54;1736;665;958;109
1924;3;3418;34:18;34:18;Николаевский;5114545.91874696;6451756.92884411;6397205.90890293;6510768.90331806;5050663.41546464;5179678.73244184;177;177;17037;12239;14678;1816
1925;3;6147;61:47;61:47;город Белая Калитва;4538465.89640556;6138674.62531698;6130454.85499811;6153246.65508814;4524117.7416872;4544802.72738832;95;95;14945;7503;31800;2280
1926;3;7517;75:17;75:17;Приаргунский;13221708.2821708;6518009.83200741;6440441.4019857;6582032.14821491;13121676.2478581;13290046.6506947;221;221;26144;18776;4904;651
1927;3;5060;50:60;50:60;г. Пущино;4187245.49009661;7328543.85583569;7324501.51697415;7332616.79489774;4179464.88978785;4192376.11057461;23;23;4696;3917;3077;1080
1928;3;1405;14:05;14:5;Анабарский;12752747.3987941;12121295.370562;11317581.5126339;12816615.3614943;12251005.6762912;13406967.3164083;9;9;1508;1008;992;275
1929;3;5907;59:07;59:7;Краснокамский;6222588.60459206;8002796.39050698;7964104.43525572;8039250.70862008;6169555.5218843;6266889.43794317;906;906;61039;41572;30649;7029
1930;3;7315;73:15;73:15;Старокулаткинский;5297501.86072095;6937935.95448046;6903481.16839639;6975071.49452899;5258435.09443204;5353408.23835896;47;47;20923;16254;6980;1223
1931;3;2605;26:05;26:5;Труновский;4681896.20817807;5709868.63622331;5676009.43188329;5751475.05952861;4646164.06818698;4718021.23483637;943;943;19070;8496;13626;1755
1932;3;2402;24:02;24:2;Ачинский;10087512.5955167;7615479.71987261;7558604.69647263;7667920.4536732;10016310.7644294;10157623.9676473;388;388;26458;16491;10136;1950
1933;3;5036;50:36;50:36;Озерский;4291034.1646776;7341102.09242699;7312509.68606547;7365917.26450996;4263207.86630459;4319625.72213889;547;547;28876;19798;19772;5007
1934;3;7512;75:12;75:12;Нерчинский;12949670.5875835;6843967.75428789;6720880.72348317;6968162.86531753;12884309.1030182;13029345.7304297;258;258;18490;12148;5483;881
1935;3;6107;61:07;61:7;Верхнедонской;4586232.22749418;6402960.42304699;6340122.08672602;6483463.52860679;4526688.56569894;4632814.98037171;93;93;22414;12651;13246;2925
1936;3;5920;59:20;59:20;Ильинский;6208872.24243603;8105433.28701405;8026139.79908743;8177398.66932265;6151256.94951518;6267610.39240477;967;967;37088;32715;9196;1980
1937;3;7303;73:03;73:3;Вешкаймский;5243310.09238506;7169427.3271887;7133021.70064032;7209323.02346946;5196280.07958979;5287034.15419682;209;209;12973;4021;6893;917
1938;3;7420;74:20;74:20;Троицкий;6827182.35054784;7197798.54685963;7150960.64607754;7252643.76019487;6705764.52855136;6939465.8445021;264;263;19602;15933;9343;1635
1939;3;2407;24:07;24:7;Богучанский;10851263.4307428;8114799.86150787;7787213.76118746;8426726.90423484;10593547.1382109;11145091.8340133;96;96;37326;23948;17895;2586
1940;3;3429;34:29;34:29;Старополтавский;5175726.97682968;6522638.0096341;6469833.60188946;6578600.82846944;5084810.37796743;5280085.4020644;148;148;12745;8863;9301;1781
1941;3;7514;75:14;75:14;Оловяннинский;12936338.9345573;6614101.07890571;6520664.23727588;6687893.79846928;12841289.3106036;13011287.5324986;348;348;21070;16538;7316;1108
1942;3;6110;61:10;61:10;Егорлыкский;4515337.76682809;5858062.39137618;5824071.06578768;5896241.91946277;4480287.35766775;4549781.2277233;168;168;42870;34411;33828;4233
1943;3;1406;14:06;14:6;Булунский;;;;;;;23;23;1518;1196;1801;739
1944;3;7307;73:07;73:7;Майнский;5303260.22200032;7197138.7795013;7125547.43883799;7278363.44868552;5264133.30356354;5349837.02448531;224;224;39885;23505;8587;1711
1945;3;7410;74:10;74:10;Катав-Ивановский;6478546.61769072;7302114.41962022;7245589.76656834;7360059.21702811;6406000.36952049;6569018.95409014;377;377;20030;7804;16313;2114
1946;3;2401;24:01;24:1;Абанский;10748190.0810228;7748917.06998634;7645320.09216855;7878589.16129908;10638707.8570314;10872794.6486178;394;394;39899;27858;9011;1427
1947;3;8606;86:06;86:6;Белоярский;7596621.22536513;9254898.10107939;9020347.96421023;9501367.95693279;7264483.43571287;7975664.47981004;72;72;32432;28155;10058;3178
