id;id_type;sort;attrs_cn;attrs_id;attrs_name;center_x;center_y;extent_ymin;extent_ymax;extent_xmin;extent_xmax;stat_rayon_total;stat_rayon_geo;stat_kvartal_total;stat_kvartal_geo;stat_parcel_total;stat_parcel_geo;stat_oks_total;stat_oks_geo
47;4;0;64;64;;5209055.88345393;6726211.36574648;6411915.94951461;6949632.11207284;4731542.21334995;5658693.71339096;52;52;18921;18921;1090430;717054;947796;128989
48;4;0;67;67;;3673841.96786215;7355768.75019054;7058940.79541976;7571678.58606648;3422892.4474806;3940134.39048739;27;27;11726;11723;652987;356798;282549;61979
49;4;0;68;68;;4629295.49431281;6925893.72216888;6725949.54955018;7136626.05216462;4443633.11970896;4814416.54984505;30;30;32385;32385;719028;236479;391903;79908
50;4;0;28;28;;14210189.5160261;7082444.19815964;6249776.31724022;7772525.2588023;13320116.3868602;15019281.1752719;28;28;9376;9318;462703;263242;255322;40639
51;4;0;71;71;;4182795.90943088;7150210.85853804;6972989.19787768;7333132.57341751;3996130.34417506;4336033.57296339;32;32;7981;7981;979032;600389;657701;137981
52;4;0;73;73;;5337869.38413028;7151621.17056391;6899907.46521413;7340796.37105138;5098142.79665074;5593047.04812635;24;24;6157;6157;720242;380887;297845;58617
53;4;0;72;72;;7699044.16607459;7912620.48438047;7390315.52146655;8397550.51019347;7216432.7106914;8371180.85124119;26;26;5338;5338;923354;697058;448893;163269
54;4;0;74;74;;6723601.8454364;7263315.84845455;6798407.35874233;7631551.36940309;6359797.52919315;7052220.43933639;43;43;25491;25489;1294624;907054;882924;177157
55;4;0;11;11;;;;;;;;20;20;2834;2833;387606;223300;172396;52485
56;4;0;63;63;;5617800.99107058;7036901.75409185;6759137.16696522;7299460.51763668;5335560.82828671;5851651.22538646;37;37;18285;18285;1646338;981795;786661;162027
57;4;0;12;12;;5336477.90840584;7674571.74308398;7524315.48645319;7830522.14874911;5078668.47684935;5588569.75261536;17;17;5685;5685;476985;238431;214857;43474
58;4;0;13;13;;4948598.56340077;7239877.23436903;7102873.29190723;7398906.51287678;4693652.44905794;5202056.60306019;25;25;3394;3393;527623;260927;252954;46911
59;4;0;05;5;;5234719.64858517;5338564.03434171;5039695.4190109;5620400.43921246;5021009.51552471;5430333.94587621;52;52;5041;5038;1072426;512150;489196;168453
60;4;0;14;14;;14528478.3583202;10255136.1243805;7456887.69589203;13912353.933434;11745194.7785635;18128753.3663171;37;35;3060;3059;564006;378017;351979;87641
61;4;0;80;80;;12730347.9385139;6616684.6245705;6515328.52713402;6743520.45055134;12505783.2419658;12909140.2909934;3;3;378;377;88652;75380;22000;5039
62;4;0;27;27;;15919753.3284;8546792.958;5882757.60443024;8986481.62432612;14514540.7979588;16388157.5052789;23;23;5683;5650;451948;276578;211174;36979
63;4;0;76;76;;4357617.50680273;7941706.83008191;7665660.5893615;8170180.54412869;4155251.45675469;4585786.09624069;23;23;11782;11782;745262;424308;326837;78688
64;4;0;33;33;;4527878.40402081;7562188.0360646;7381663.03531427;7722091.60977698;4259965.33297113;4783877.7887626;26;26;8694;8691;998766;606799;579421;112632
65;4;0;24;24;;10121112.9488645;8584508.39883789;6759043.62917717;10938487.9400951;9097335.49800993;11426350.0103462;62;61;18693;18691;1817537;1143011;977703;189461
66;4;0;29;29;;6130186.3371;16063712.7324;8542763.30273072;17035631.4425414;3923694.17101365;7823302.36808109;29;28;7827;7825;446303;228132;266019;59588
67;4;0;84;84;;10457171.9055669;13831074.1952073;10217703.57688;16980055.0423912;7988452.54040266;12704001.9165775;5;5;110;97;9677;7187;6302;1407
68;4;0;08;8;;5046917.94217117;5852920.63513655;5574170.83415364;6152174.89898455;4634368.71884924;5300112.34546605;14;14;1798;1750;190295;132150;95046;13785
69;4;0;10;10;;3698151.2984781;9292574.85605415;8552993.84392347;10062133.8992503;3262334.60395836;4224089.47241725;22;22;10034;10033;306047;197894;165650;32080
70;4;0;87;87;;;;;;;;9;1;162;155;15797;9872;22233;2592
71;4;0;19;19;;10007277.413684;7062887.51430478;6671689.78429468;7447274.94655525;9780165.35100884;10234302.4960265;11;11;3128;3128;348377;222255;174034;28390
72;4;0;86;86;;7814470.615731;8849822.74671937;8090065.90043934;9800138.95845957;6590568.97626898;9570842.58440716;22;22;2509;2509;750824;633682;504185;165721
73;4;0;90;90;;3832344.02174309;5666271.08994424;5494676.60710742;5817285.386802;3584351.7332989;4083694.7121135;27;27;3024;3020;996078;678439;1663073;264272
74;4;0;15;15;;4927196.82920442;5326350.16439436;5243268.77053067;5440097.85980412;4830940.21751258;5004800.03165981;9;9;7958;7958;226241;159083;177988;32959
75;4;0;88;88;;11014062.0863407;9633803.19374606;8096554.38745707;11046496.9359083;9858743.69886998;12066207.3607728;3;3;314;314;11514;8532;6915;1861
76;4;0;78;78;;3347061.49686837;8391599.74495107;8318636.86226255;8454442.02649704;3275659.0949782;3424123.63795557;19;18;5731;5729;150917;138369;144797;29916
77;4;0;81;81;;6028033.15175053;8388008.93725314;8094852.3991662;8646521.16367466;5763274.4631305;6261974.0490163;7;7;5307;5307;140072;79810;35902;12277
78;4;0;82;82;;18391765.2023071;8671810.61548446;7492405.41094046;9592315.04431671;17326098.5739537;19427323.165108;4;4;59;59;9367;3700;5010;730
79;4;0;83;83;;5996985.09228073;10482004.8096572;9827836.46932627;11280002.2728323;4597105.01562755;7310296.81898703;0;0;148;147;40676;27139;20346;5800
